          mean se_mean   sd  2.5%   25%   50%   75% 97.5% n_eff Rhat
mu[1]    44.77    0.01 0.67 43.47 44.31 44.76 45.21 46.12  8504    1
mu[2]     5.55    0.00 0.05  5.45  5.52  5.55  5.59  5.66 10247    1
sigma[1] 12.91    0.01 0.49 11.99 12.58 12.90 13.23 13.91  8834    1
sigma[2]  1.04    0.00 0.04  0.97  1.01  1.04  1.06  1.11 11598    1
rho       0.73    0.00 0.05  0.61  0.70  0.73  0.76  0.81  8993    1
alpha[1]  0.88    0.00 0.03  0.83  0.86  0.88  0.90  0.93 13036    1
alpha[2]  0.78    0.00 0.02  0.75  0.77  0.78  0.79  0.82 10872    1
alpha[3]  0.67    0.00 0.02  0.64  0.66  0.67  0.68  0.71 10961    1
alpha[4]  0.92    0.00 0.04  0.86  0.90  0.92  0.95  1.00 12081    1
alpha[5]  0.84    0.00 0.03  0.79  0.82  0.84  0.86  0.90  8890    1
alpha[6]  0.72    0.00 0.03  0.66  0.70  0.72  0.73  0.77  8645    1
thresh    0.66    0.00 0.02  0.62  0.65  0.66  0.68  0.71  9612    1
